CALL_PAIRS,DECISION_DENSITY,HALSTEAD_CONTENT,EDGE_COUNT,,mean,std,mean + k*std,,,Instances,CALL_PAIRS,DECISION_COUNT,DECISION_DENSITY,HALSTEAD_CONTENT,EDGE_COUNT,Defective
4,2,41.87,26,,3.3,2.21,5.51,1.09,,1,1,2,1,1,1,N
1,2,12.18,5,,5.8,3.46,9.26,2.34,,2,0,0,1,0,0,N
6,2.4,37.31,37,,2.34,0.52,2.86,1.82,,3,2,2,1,1,2,N
2,2.5,31.44,31,,34.56,12.9,47.46,21.66,,4,1,1,1,1,2,N
6,2,31.9,10,,19.4,10.27,29.67,9.13,,5,2,0,1,1,1,Y
4,2,46.83,22,,,,,,,6,1,1,1,1,1,N
2,2,17.81,11,,,,,,,7,1,1,1,0,1,N
6,3,32.98,12,,,,,,,8,2,0,2,1,1,N
0,3.5,36.79,16,,,,,,,9,0,1,2,1,1,N
2,2,56.47,24,,,,,,,10,1,2,1,2,1,N
,,,,,,,,,,,,,,,,
Instances,CALL_PAIRS,DECISION_COUNT,DECISION_DENSITY,HALSTEAD_CONTENT,EDGE_COUNT,Defective,,,,,,,,,,
1,4,10,2,41.87,26,N,,,,,,,,,,
2,1,2,2,12.18,5,N,,,,,,,,,,
3,6,10,2.4,37.31,37,N,,,,,,,,,,
4,2,8,2.5,31.44,31,N,,,,,,,,,,
5,6,2,2,31.9,10,Y,,,,,,,,,,
6,4,6,2,46.83,22,N,,,,,,,,,,
7,2,4,2,17.81,11,N,,,,,,,,,,
8,6,2,3,32.98,12,N,,,,,,,,,,
9,0,4,3.5,36.79,16,N,,,,,,,,,,
10,2,10,2,56.47,24,N,,,,,,,,,,